R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
CECR2 46 43 37 5 6 5
SMARCB1 1206.00001 1407.99999 1189.00001 1327 1544.00001 1428
P2RX6 46 33 47 0 1.00001 0
DERL3 124 110 82.00001 58.99999 46 72
SLC7A4 0 0 2 0 0 0
BCL2L13 1229 1251.99999 1206.00001 817.99999 724.99999 623.99999
DDTL 112 114 76 82 45 52
DDT 9607 7499 7018 7252.00001 4498 5579.00001
GSTT2 220 129 170 0 0 0
OSM 2 0 0 0 0 0
CABIN1 276 203.99999 230.99999 178 311.00001 139
TBC1D10A 307.99999 390.00001 338 200 304.99999 208
SUSD2 54 32 25 64 70 72
SF3A1 2561 1532 1792 1744 2055 1595
GGT5 7 6 5 38.99999 47 42.00001
RNF215 103 103 103 54.00001 37.99999 38
SEC14L2 1072.00001 1017 985 401 364.99999 410
SEC14L3 0 0 1 0 1 0
SPECC1L 721.00001 635 589 389.00001 294.00001 256.00001
PPIL2 523 473 449.00001 315.00001 321 236.00001
UPB1 5.00001 1 1 0 0 0
YPEL1 37 30 12 25 35 41
SNRPD3 9270 7942.00002 7897 4608.99999 3535.00002 3924.99999
PES1 2739 2774.00001 2503 1802.99999 1643.99999 1805
MAPK1 957.00001 634.99999 702 451 470 331.99999
GGT1 242.99999 266 213 367.99996 547.99999 516.99999
PRODH 6 6 3 1475 3284 1378.99999
PPM1F 267 222 260 148.99999 214 95
SLC35E4 150 109 120 30 43 17
TOP3B 201.00001 209.99999 182 109.99999 107 136
CRYBB3 3 4 6 2 0 1
CYTH4 7 10 11 3.00001 0 2.00001
ESS2 532 612.00001 490 633 675.99999 690
MFNG 22 31 15.99999 22.99999 18 23
CARD10 127 97 111 90 131 84
LRP5L 4 3 4 2 1 8
SLC25A1 920.99999 802 770.00001 1671 2417.99999 1583
GRK3 181 189 209 71 86 64
LGALS2 47 15 33 205 197 194
GGA1 656.00001 628.99999 606.99997 733.00001 870.99999 602.00001
HIRA 236 206 194 110.99999 203.00003 98
SH3BP1 58 56 51 131.00001 227.00001 161
SEZ6L 0 0 1 0 0 0
LGALS1 146879.00001 123453 124594 36342.00001 34224 31383.00001
HPS4 800.00001 809.99999 872 510.99999 448 381.99998
PIK3IP1 391.00001 316 390.00001 73 67 80.00001
ENSG00000100101 3 7 5 0 0 3
SRRD 664.99999 780 628 337 323 321
PATZ1 547.99999 432.00001 515 555.99999 811.99999 518
TRIOBP 927 760.00001 896.99999 700 666 511.00001
TFIP11 876 814.99999 766.00003 558.00002 677 573.99999
GCAT 662.99998 712 622.00001 326.00002 271 322.99999
GGTLC2 7 0 3 6.99999 17.00001 3.00001
CRYBB1 2 2 0 0 3 0
ANKRD54 374 379 348 235 222.99999 178
EIF3L 6183.00001 6291 5745.99999 6077 4432 5599.00001
SNU13 17854 15508 16170 12644.00002 8263.99999 10528.99999
MICALL1 413 362.00001 352.00001 198.99999 345 177.00001
POLR2F 8026 7131 6836.00001 5380 3437 4167
CCDC134 239 238.00001 245.99999 130 80 99
DEPDC5 100 103.99999 85.99997 36 46 27
PICK1 167.00002 182 168.99999 151.99999 248 187
TTC28 207 181 163 8 2 4
SLC16A8 0 0 0 0 1 0
CENPM 1499 1423 1168 1526 1271.00001 1265.99999
SEPTIN3 2 4 1 7 3 5
SLC5A1 9 0.99999 4 0 0 0
SLC5A4 130 168 158 13 2 0
KDELR3 835 911 770.99999 209 120 168
CYP2D6 8 4 10 5 1 0.99999
DDX17 1472.00001 1373 1429 969 1033 588.00001
DMC1 88.99998 94.00002 128.99999 3 3 0
TCF20 186.99999 136 131.00001 90 104 95
HSCB 1852 1736.00001 1871.99999 784.99999 375 496
CBY1 1327.99998 1279.99999 1265.00001 1370.00001 1075 1320.99999
TOMM22 4710.99999 4383 4162.00001 3695.00001 2535.99999 2622
RSPH14 34 21 25 10 1 14
XBP1 1826 2330 2004 1061 1159 1077
RTCB 2791.99999 2901 2905 1817 1968 1895
JOSD1 428 407.00001 371 202 234 140
FBXO7 1432 1493.99999 1331.00001 731 714.00001 687
GTPBP1 182 133 160 153 168 128
POLDIP3 703 774 790 945 1038 959
RAB36 48 67 57 25 27 22
TIMP3 0 0 0 1 0 0
PPP6R2 150.99998 189.99999 132.99999 176.99999 281.00001 171.00001
SBF1 263.00001 296.99999 298.99998 451 572 275.99996
SUN2 2512.00001 1908.00001 2525.99998 1451 1272.99998 1266
CYB5R3 3466.00001 3689.00002 2845 1885.00001 1811.99999 1948.00001
DNAL4 984.00001 1065.00001 941.99999 851.99999 460 802.00001
MIOX 15 8 24 12.00001 3.00001 9
LMF2 374.99999 341 349 385.99999 598.00001 419
RHBDD3 433 449.00001 450 172.00001 274 261.99999
PACSIN2 723.00002 688.00003 661 659.99999 754.00001 719
TTLL1 169.99999 222 191 155 132.99999 130
RASL10A 1 0 6 1 6 0
AP1B1 1480 1441.99998 1288 1069.99998 1542.99999 995
HMGXB4 984 786.99999 846.00001 711 529 427.99998
TOM1 1040.00001 1028.99999 1005 1225.00001 1375.00001 1472.99999
NEFH 2 2 4 1 2 0
CHKB 239.99999 288 274.99999 186.00001 241.99999 235
BIK 140 125 150 2063.99999 1464 1876.99999
HMOX1 3221 2758 2146 263 243 256
MCAT 444.00001 519 422 694 753 763.99999
THOC5 1549.00001 1302.99998 1148.00001 1099.00001 1180 1056.99999
MCM5 806 724 615 909.00001 1016.00001 945
APOBEC3H 44 43 59 11 11 5
ARSA 273.00001 276.99998 267.00001 341 485.99999 359
TSPO 14342.00001 13483.00002 13177.00002 15302.99999 11484.99998 14956.99997
RASD2 128 78 82 17 26 18
TTLL12 1691 1805 1710 2406 3039 1918
CBX7 37 27 26 50.99997 58 39
PDGFB 73 70.00001 87 92 87 79
ACR 0 0 1 0 0 1
CABP7 14 16 11 6 12 6
RPL3 81957.99998 80625 75767.00001 124322.99999 65192.00003 95607.99998
ZMAT5 1941.99998 1882 1753.99999 972.99998 903.99997 1109.00001
RBFOX2 3066.00002 3070 3127.99999 1210 1222 856.00001
SYNGR1 263 214.99998 222 37 50 43.00002
TAB1 236 217 186.99999 226 319 248
ASCC2 840.00002 914.99999 795.00001 599.99999 601 608.00001
MTMR3 331.00001 284 322 179 185 145.99999
MIEF1 532 449.99999 462.99999 341 393 279.00001
APOL4 2 1 0 0 3 1
PNPLA5 3.00002 1 0 1 0 1
APOL1 1379.99999 1054 1098 1790 1691.99999 1337.00001
PNPLA3 29 34 36 43.00001 30.99999 33
MYH9 6293.99998 4892 5695 4524 7585.99999 2876.99999
CACNA1I 4 3 4 0 4 2
SAMM50 1735.00001 1735 1474.99999 1541 1170.99999 1471
TXN2 4491 4103 3866.99998 4847.00001 3937.99998 4636
FOXRED2 531 388.99998 400 210.99999 213.00001 133.99999
GRAP2 4 1 3 0 0 0
EIF3D 6402.99999 5984 5465.99999 6753.99998 5915 6708.99999
TNRC6B 589.99998 449 468 295.00001 284.99999 135
SGSM3 409 419 370.00001 451.00001 492.99999 486
IFT27 1322.00001 1344 1300.99999 809.00001 915.00001 895.99999
KIAA0930 588 460.00001 471 712 1071 511
NCF4 13 8 7 32 27 35
SLC25A17 855.99998 971 869.00001 508.00001 318 442
UPK3A 7 10 10 19 29 31
FAM118A 201 265 251.00001 194.99998 183.99996 164.99998
KCTD17 161 151.99999 137.99999 113 176 107
ST13 8229.00001 6995.99999 6393.00001 6005 4628 4520
IL2RB 13 8 12 9.99995 16 11.00006
RBX1 9133 7805 7900 6551 5344 5275
EP300 525.99999 432.00001 410 220 234 151
L3MBTL2 434 437 429.00001 399 581 457.00001
CHADL 12 26 6 17 13 13
RANGAP1 2047.00003 1903.00001 1972.00002 1852.00001 3124.99999 1890.00001
ZC3H7B 466 389 472 450.99999 396 318
PHF5A 1859 1767.00001 1816 1549 999.00001 1368
ACO2 1626.00001 1391.00001 1287.00001 1371.99999 1385.00003 1253.00001
POLR3H 892 957 855 582.99999 514.99999 565.99999
TRMU 351 355.99999 330.99998 257.99999 220.99999 270.00001
PMM1 2747.99998 2134.00001 2514.00001 2612 2124 2435
DESI1 1587 1733 1583 1499.99999 1484 1310.99999
CERK 113 90 87 110 117 80
BRD1 91 82 113.99999 76.99998 92 46.99998
ZBED4 152 109 118 125.99999 123 83.99999
MLC1 2.00001 1.99999 0 0 0 0
HDAC10 95 115 99.00001 157.00001 234.00001 174.99999
KCNK10 2 2 4.00001 0 0 0
ABHD4 1912.99999 1648.00001 1926 870 806 882.00001
KHNYN 560.99997 478.00001 525.00001 583.99999 685.99999 559
FKBP3 5585 4162.00001 4310.99999 3649 2906 3337.99999
SDR39U1 1500.00001 1487.00001 1438.00001 1223.00002 854.00001 1376.00001
RBM23 1018 943.00001 873 918.99997 940.99999 901.99999
PRMT5 1823.99999 2349.00002 2286.00001 4146 4108.99999 5031
COCH 60 27 29.00001 8 10 15
AP4S1 259 219 239.99999 194.99999 144.00001 132.99999
POLE2 232.00001 244.99999 168.99999 116 80.00001 118.00001
VCPKMT 146.00001 172.00001 149 79 41.00001 72.99999
SOS2 80 64 74 63 75.99999 38
CDKL1 114 140 133.99999 141 66 63
NIN 299 172.99999 206.99999 136 172.00001 77
PYGL 5417 3956 4590 3365.99999 3403.00001 2738.00001
TRIM9 101 61.99999 76.99999 2.00002 6 1
PSMC6 2712 2596.99999 2771.00001 1568 1234 1589.00002
GNPNAT1 1212.99999 1251.00002 1264.00001 1084 721 770.00001
DDHD1 81 76 77.99999 48.99999 41 31
CDKN3 3213 2870.99999 2568.99999 2223 1522 1837.00001
CNIH1 5006 4908.99999 4695 4910 2796.00001 3859
CGRRF1 540.00001 514 522 386.99999 182 266.00001
ATP6V1D 4950.99999 4230 4232 1647 1241.00001 1521
CCDC198 2 0 0 5 6 2
PLEK2 1532 1993.99999 1467.99999 716 721 735
PIGH 827 951.00001 971.99999 338.99999 191 306.00001
PSMA3 13559.00001 11724 11830.99998 3938 2837.00001 4248.99998
VTI1B 6628.99999 7260 6474.99999 3288.00001 2420 2800.99999
TIMM9 6448.00001 5897.00002 6335 4372 2376.00001 3298
GSTZ1 2088.99999 1980.99998 1907.00001 1660 1705 1590.99999
KIAA0586 467 433.00001 471.00001 249.99999 190.99999 138
TMED8 300 330 284 148 129 90
SAMD15 163 115 123 24 17 16
AHSA1 6115 6065 5671 2788.99999 1731.99999 2455.99999
DAAM1 1603 1264 1490 550 460 332
ISM2 0 5 3 2.99999 0 1
SPTLC2 1102 852 840 411 334.00001 344.99999
RIN3 213 166.99999 168 299 531 232.99999
LGMN 3074 2571 2648 953.00001 751.00001 949.99999
ALKBH1 372 342 348.99999 256 192 266
SNW1 5165.99999 4708 4790 2306 1713.00001 1739.99999
CHGA 0 0.99999 0 0 0 0
ITPK1 311 264 301 193 311 160
DHRS7 10090 9298 9025.99999 4594.99999 3148 3719
PPM1A 605 530.00001 598.00004 220 156 142.99999
SIX4 225 248.99999 204 91 101 72
GALNT16 8 8 6 0 0 0
ASB2 112 93 103 228.99999 203 294.00001
CEP128 313.99999 225 213.99999 71 59 63
ERH 27412 25073.00001 25596 11371 7260 9538.00001
HIF1A 3377 3152.00002 3461.99999 1391.99999 1631.00001 1169.00001
SUSD6 792.99999 739 836.99999 654 341.99998 441
SRSF5 3989 3329.99998 3638 2884 1921.99999 2941
SLC10A1 0 2 2 0 0 0
EIF5 10755.99999 12382.99998 12924 5778 3247 4106.99999
SERPINA4 1 0 0 31.00001 35 48.00001
DICER1 505 415 432.99998 282.00002 277.00001 249
ZFYVE21 2248.99999 1940 1895 1394.99999 943.99998 1339
MTHFD1 1966.00002 1850 1650 1711.00001 1605.99999 1423.99999
TCL1A 2 0 0 0 0 0
ZC3H14 1689 1701.00001 1616.00001 660.99998 541.99999 562.99999
TELO2 455.99998 322.99999 408.99999 730 707.00001 644.00001
PCNX1 338 231 295.99999 118 123 80
BDKRB1 8 1 9 1 0 2
GSKIP 869 807 819.00001 292.99999 206.99999 276.99999
VRK1 1132.99999 1063.99999 989.99999 787.99999 403 572.99998
PSMC1 5199.00001 5147 4880.99999 3061 1922.99999 2480
PAPLN 43 36.00001 56 66.00001 76.99999 30.99998
RPS6KA5 77 45 51 94 73 44
PPP4R3A 279 243.00001 268.00001 219.99999 207 157
C14orf93 198.99999 175 201.00001 322.99999 288 309.00002
PSMB5 9518.99999 9248 8410.99999 13032.99999 10329 12478
YY1 2307 1765.00001 2037 2088 1620.99999 1317.00001
ACIN1 2553.00001 1911 2450.99999 3061.00001 2856.99999 2239.00001
CCNB1IP1 1445.00001 1453 1498.00002 2136.99999 1232.00001 1548.00002
TRIP11 1124.00001 1002 947 390 352 276.00001
APEX1 5859.99999 5733 5826.99999 9388.00001 6456.99998 8700
PABPN1 2201.00001 1724.00001 1852 1914 1879.00001 1299
EFS 0 0 0 0 0 2
ARHGAP5 694 488.00001 591 251.99999 268.99999 196
CINP 3900 3544.00001 3232.00001 3575 2590 2842.99999
DHRS2 21564 16400 18063.00001 156.00001 178 159
SRP54 1386.99999 1317 1275.99999 1049 547 847
CPNE6 0 0 0 2.00001 0.99999 0.99999
CHD8 366.00002 307 291.99998 479 592.99998 281.00002
PCK2 1478 1494 1498.99999 1804.99998 1342 1894
PRORP 377 392 396.99999 611 498 507.99999
DCAF11 453 462.99999 462.00002 938 983.99998 937.99998
PSMA6 9368.99999 9672 8968.99998 13508.99998 7162.00002 10653.99998
NFKBIA 1475.99999 1636 1439.99999 2854.00001 3137 2486.00001
EMC9 822.00001 907 841 2465 2458.00001 2388
PSME2 11766.00001 10628.00001 10534 20728 18023.00001 19058.99998
BRMS1L 276 230 209 292.99999 219 222
REC8 62 51 54 80 81.99999 73
TM9SF1 1597 1597.00001 1427.99999 1361.00001 1160 1136.99999
SEC23A 631.00001 501.99999 520.99999 360.99998 282.00001 276.00001
GMPR2 1941.00001 1784.99998 1801.00003 2270.99997 1617.00003 2237
PNN 1806 1323 1520 1229 806 883.00001
RABGGTA 547 491 495 1072.99999 876 1079.99999
NFATC4 93 65.00001 69.99999 260.00001 435.00001 274
PLTP 10759.00001 9519 9638.99998 22 19.99999 29
PCIF1 525.00001 485 436.99998 974.99998 1078 960.99999
GSS 1934.99997 1925.99999 1728.99997 2223.00002 2573.99999 2370.00001
MMP9 253 282 276 69 49 53
VSX1 66 69 79 30 17 11
TRPC4AP 749.99999 766 719.99999 932 1252.00003 947
PYGB 2621 2380.00002 2735.00001 5892 9753.00002 5993.00001
ABHD12 813 794.99998 681 1109.99999 1242.00002 1224
PROCR 2499.00001 2408.99999 2206 790 352 694
GINS1 120 94.99999 91 110.99999 104 79
NINL 310.00002 289 301 200.99999 146.00001 129
CD40 1158 1030 1014.99998 34.99999 22 31
UQCC1 1851 1740 1828.00001 939.00001 714.99998 855.99999
ZMYND8 1403.99997 1184.00002 1025.99999 1135.99999 1106.99999 628.99999
SGK2 0 1 2 245.99999 209.99999 226.99999
IFT52 852.00001 828.99999 770 493.99999 255.00001 398
MYBL2 384.00001 289.99999 277.99999 622.99998 1081.00003 453
R3HDML 0 0 1 0 0 0
NDRG3 1501.99999 1487.00001 1345.00002 1311 1059 1223.99999
SLA2 23 21 12 9 8 8
RAB5IF 5801.99999 6025 5538.00001 4767.99999 3554 3657
NFATC2 26 22 28 80 105 48
RIMS4 0 0 1 2 0 0
PABPC1L 95 115.00001 107 86.99999 58.99999 64
STK4 964.99999 802 874.00002 375.00001 260 227
SALL4 11 3 4 0 0 0
ADNP 741.00001 563 610 385 328 254
PFDN4 4128 3703.99998 3836.00001 5289.00001 2693 3229.00001
DOK5 12 4 12 0 5 1
CSTF1 1072.00001 1067.99999 933.00001 905.00001 780.99999 729.99999
BMP7 7 8 5 0 0 2
RAE1 1578 1645.00001 1456.99999 1342 1007.99999 1239
TPD52L2 2607 2221.99999 2209.99999 2049 1697 1739.99999
DNAJC5 548.00001 500 584 820 1015 626
NELFCD 823 930.00002 747.99999 965 827 919
CTSZ 386.00002 326.99999 342.99999 260.00002 362.99999 193.99998
PRPF6 3140.99999 2585.00002 2582.00001 4014 6710 3545
TUBB1 1 1 0 0 0 0
PRELID3B 4365 4393 4631.00001 2769.99999 1626.00001 2519.99999
MTG2 1469.99999 1438.99999 1422 789 670.99999 657
PSMA7 24998.99999 22269 21766.99999 18264.00001 12075.00001 11697.00001
SLCO4A1 278 181 202.99999 852.00001 797 761
NTSR1 1 0 0 0 0 0
MRGBP 922 1115 840 645 670 501
TCFL5 352 231.99999 278 227 200 133
DIDO1 344 286.00001 334.00001 234 283 158.99999
GID8 1161.99999 1195 1074.99999 979.00001 1086 747.99999
SLC17A9 11.99999 24 15 0 0 0
BIRC7 3 1 6 1 0 2
NKAIN4 31 42 33 5 2 6
ARFGAP1 918.00001 869.99997 861 607.00002 1105 436.99999
COL20A1 0 1 0 0 0 0
EEF1A2 527.99999 339 303.99999 810 947 867.99998
PTK6 226.99999 212 220.99999 67 64 52
GMEB2 126.00001 98 111.99999 219 285 133
ADISSP 4137.00001 4562.00001 3662.99999 2541.99999 2225 2732
SPEF1 28 16 15 11 12 19
CDC25B 1498 1066 1220 1772.99999 3255 1655.99999
ISM1 11 1 5 9 8 14
RNF24 811 768.99999 740.99999 270.00001 243.99999 187
ARFRP1 1336.99999 1628.00001 1492.99999 1093.00001 1020.00001 1013
NDUFAF5 565.99999 543 536.99999 253.00001 159 190
SEL1L2 1 2 2 0 0 0
TRIB3 4891.99999 5422.00001 5650.99999 5271.99999 5149 4911.99998
RASSF2 12 8.00001 13 91 78 75.99999
CSNK2A1 3675.00002 3295 3025.99999 1869.00002 1632.00002 1271
SLC52A3 203 182.00001 226.00002 68 60.00001 48.99999
RPS10P5 0 0 1 0 1 1
ANGPT4 39 43 27 19 6 7
RSPO4 1.00002 0 3.99999 0 0 0
CDS2 2699 1863.00002 2374 762.99999 491.00001 573
HM13 6351.99997 6551.00001 6498.99999 7123.99997 6983.99997 9110.99999
SNPH 105 85 114 28 20 18
MYLK2 0 1 0 1 0 2
SIRPB1 35 34 38 0 0 0
SEC23B 868.00001 995 863.00001 791 658.99998 709.99999
FERMT1 1438.99999 1483.00001 1298.99998 659.99999 543.00001 438
HAO1 0 2 3 0 0 0
CCM2L 4 0 0 0 0 0
PLCB4 4.00002 3 0.99997 25 32 9
MYL9 2885 2949.00001 2471 491 448 449
TM9SF4 1457 1200 1178.00001 1072.99999 1378.99999 1011
TLDC2 1 1 1 69.00001 36 61.00001
CRNKL1 1336.00001 1120 1100 649 607 532.00001
POFUT1 1405.99999 1436 1504 1337.00001 1003 1043
SAMHD1 1153 726 941.99998 5.00001 2 3
PAK5 1 2 0 0 0 0
KIF3B 1074.00001 801 918 793 683 471
MROH8 29 20 15 3 13 8
NOP56 17519 14017.99999 17432.00001 12751.00002 9919 12276.99999
MANBAL 2771.99998 3363.00001 2989.99997 2102 1245.99997 2077.99999
IDH3B 3228.00001 3116 2921.00001 2666.99999 2051 2788
MAPRE1 2233.00001 2045.00001 1968.00001 1961.00001 1424 1543.99999
JAG1 774 525 641.00001 110 79 53
CDK5RAP1 712 827.00003 738.00001 966 751.99999 874.99998
SNTA1 150 116 145 152.99999 243 138.99999
OXT 0 1 2 0 0 0
TTI1 336 343 302 249 183 193
E2F1 111 98 80 158 306 162
RPRD1B 300 289.00001 292 178 183 153
PXMP4 1312.99999 993 984 1107 763 879
CHMP4B 695 698 649 1435 1561 1269
CST9L 0 0 0 0 0 2
SLC32A1 0 1 0 0 0 0
CST3 12282 11920 11898 9755.99999 9942 10391
ASIP 6 1 2 8 0 9
CST4 0 0 3 0 1 1
ACTR5 108 109 148 120 131 94
WFDC2 584.99999 410 498 477 377 503
AHCY 4860 4261 3903 6413 7268 6448
SPINT3 1 0 1 0 0 0
FAM83D 430 351 316 314 329 304
EPPIN 0 1 0 0 0 0
DHX35 185 147 122.99999 107 120.99999 107
DNTTIP1 2350.99999 2562 2405 1991 1642 2160
MAP1LC3A 351 503 356 1 0 2
SYNDIG1 0 1 0 0 0 0
PIGU 582.99999 591.00001 552.00001 661 575 742.00001
TNNC2 108 98 124 10 1 6
ACOT8 1999 1786.99999 1820.99999 2404.00001 1819.99999 2472
APMAP 3612 3342 3333.00001 1896.00001 1449 1681.00002
CELF4 4 1 3 9 9 6.99999
ZNF516 186 169.00001 168 85 97 57
CDH20 0 0 0 1 0 0
ADNP2 149.00001 148 176 90 84 58.00001
RBFA 517 544 426 956 786.99999 931
USP14 1182 1171.99999 1080.00001 589.99999 443.00001 400.00001
VAPA 2897 3131.99998 2852 2295 1361 1854.00002
METTL4 232 188 234.99999 62.99999 50.99999 54
LPIN2 499 469 479 600.00001 451 394.00001
SMCHD1 366 291 317 116.99999 116 99
MYOM1 9 4 3.00002 5.99998 7 1
MYL12A 25742 23786.99999 23591.99999 16015.99997 8745.99999 13173.99998
CEP76 144 162 120 84 52.99999 65
ST8SIA5 0 0 2 0 2 0
CEP192 63 65 68.00001 81 86.00001 59.99999
RNMT 577.99999 615 636.00001 369 361 245.99999
SMAD7 85 87 76 108 91.00001 70.99999
LIPG 244 242 203.00001 46 51 31
LAMA1 37.99999 25 15 1 0 0
RNF125 103 104 119 23 22 17
ANKRD12 679 568.99999 560 285 253 187
NOL4 0 6 4 3 2 4
POLI 172 194 188.99999 74 59 55
MIB1 266.99999 188 203 127 117 75
RBBP8 421 408.99999 396.00001 180.00001 189 161.00001
RIOK3 749 605.00001 743 641 527 406
CSTF2 598 674 633.00001 664 612 576
VSIG1 26 14 14 134 90 116
PSMD10 1968 1962.00001 1849.00001 1739.00001 959.00001 1762
ATG4A 289 237 252 156 88.99999 164
STS 82 63.99999 90 116.00001 140 85
TBL1X 563 595.99999 509.99999 391.99999 501 203
GPR143 25 15 12 64 61 74
PGRMC1 1238 1284 1166.99999 1480.00001 1059 1379
POLA1 98.00001 86.99999 79 105.99999 99 65
MID1 372 321 317 242.99998 186.99999 146
NKAP 2192 1759 1907 2024 1485 1323
RHOXF1 3 3 3 14 13 12
NXT2 149 134 140.99999 69 49.99999 53
MCTS2 282 303 306 5 6 5
ALG13 1305.99997 1018.00001 1179.99999 782.99999 439 734.00002
PRPS2 1449.00001 1314.00001 1217 470 175.99999 358
MOSPD1 897.99999 635.99999 669.00001 388 214.00001 317
AMMECR1 188 145 155 252 289 153.00001
WDR13 1582.99999 1679.99997 1538.99999 867.99998 823.00001 1050.99999
SUV39H1 672 858 726 603 587 682
PAGE4 0 2 0 0 0 0
SRPX 2 1.00002 1 55 17 43
XIAP 1208 991.00002 1061 866.00001 817.00001 463
STAG2 1064.99998 908.00001 1004.00001 1181 1181 801
ATP11C 181.00001 154.99999 180 131 190 112.99999
ABCD1 96 70 57 25 46.00001 39
CCDC22 389 335.00001 314 555.99998 829 643.00001
CACNA1F 8.99999 5 14 20 8 13
SYP 124 65 84 76 120 58
PLP2 14306.00001 13308 12893 7823 5181 6880
BMX 1 0 0 0 0 1
LUZP4 0 1 1 0 0 0
PLS3 2339.00001 1972.99997 2051 3097.99999 2968 2323
NAA10 6684.00003 6486.99999 6248 16181.99999 17012.00001 14541
RENBP 23 22 33 56 37 35
ELF4 274.00001 251 231 605.99999 620 405.99999
SMARCA1 461.00001 400.99999 444 220 324 186.99999
MTMR8 19 11 16 51 24 51
ASB9 200 169 179 232.00001 157.00001 232.00001
ZC3H12B 13 18.99998 2 15 5 7
RBBP7 1994.00001 2015 1685.00001 1445 1433.00001 1314
KCND1 37 18 23 13.00001 13 8
SLC25A14 216 207 229 187.99999 167 213.99998
FMR1 402.99998 306 357.99998 353.00001 267.00001 239.99999
PIM2 281 273 300 105 94 93
SCML2 34 42 22 42 30 41
SLC35A2 736.00001 632.00001 700 299 285 255.99999
PQBP1 3274 3273.00001 2878.00001 4617.99999 4426.00001 4527.00001
PCSK1N 714.99999 555 661 1300.00001 1011 1461
EMD 2243 2364 1999 4124.00001 3450.99999 3738
TAFAZZIN 296 320.00001 332.99999 364.00002 485.00002 294.00001
RAB40AL 0 1 1 0 1 0
PGK1 22673.00001 21965.00001 21183.00001 15619.99999 13899 17869.00001
MAGT1 1129.00001 954 941.00001 1009 902 745
SMS 6736 6190.99999 5521.00001 3159 1934 2021
PHEX 50 32 37 8 2 13
UBL4A 1261 1300 1224 1322 1295 1152
CD99L2 397 364.00001 328 554 717.00001 449.99999
EEA1 556 598 598 143 186 119.00001
RP2 214.99999 130 159 65 49 49
JADE3 60 48 66 15 34 12.99999
CDK16 899 807 851.99999 823.99999 1205 742.00001
USP11 1159 1004.00001 1069 940 1224 869.99999
BRS3 0 0 2 0 0 0
HTATSF1 1142.00001 982 931 825 757 653.00002
VGLL1 13 6 3 39 13.00001 28
TIMP1 25061.00001 21571 23355.99999 16733.00001 15322.00001 15890.00001
KLHL4 97 78 87 3 1 0
GABRE 6 8 8 70 74 65
FGD1 25 24 32 16 15.99999 11
PIN4 5234 4116.99999 4337.99999 4675 4045 4554
PORCN 207.99999 237.99999 183 136 86.99998 139.99997
ITIH6 0 0 0 0 2 1
MAGED2 2597.99999 2334.00001 2230.99997 1679.99998 1254 2018.00002
RBM3 6452.99999 5939 5423.99999 4475.00001 2884.00001 3208
KLF8 70 42 42 28 20 14
SRPX2 872 718 654 2547 1558.00001 2580.99999
SYTL4 139.99998 118.99998 159 164.00001 262 151.99999
ZDHHC15 0 0 0 0 3 0
CENPI 95 85 61 117 105.99999 80
DRP2 1 2 1 0 2 0
TAF7L 2 2.99999 0.99999 0 0 0
PBDC1 2079.99999 2081 1943.99999 1310.00001 939.99999 1121.99999
GLA 884 830.00001 746.99999 1013.99999 721.00001 971.99999
ARMCX3 2450.99999 1899.00001 2156 1943 1392 1748.99999
BEX4 1 0 2 271 137 232.99999
RUBCNL 0 0 0 0 0 2
NALCN 89.00001 81 53.99998 17 14 20.00001
FGF14 1 0 0 1 3 0
NDFIP2 488.99999 464.99999 440 382.00001 237.99999 367.00001
TNFSF13B 10 9 7 5 4 3
FNDC3A 109.99999 110 131.00001 173 174 146.99999
MLNR 0 0 1 3 0 0
CDADC1 200.00001 188.99999 155 229 106 154.00001
CAB39L 86 85 95 82 42 54
KLF5 134 92 137 349.00001 508 205
STK24 9 3 2 800 283 228
ACP5 3738 3317.99999 3798 1953.00002 1591.99998 1998
DNAJC3 1050 1074 1114 489 438 345.00001
UGGT2 177.00001 163.99999 192.99999 145 109 118
ARHGEF7 183 166 188 205.00001 179 139
FGF9 1 0 3 32 27 35
PARP4 495 416 446 459 395 310.00001
SUPT20H 185 165.99999 204 233 189.00001 183.00001
MRPS31 536 479 544 860.00001 655.99998 713
SLC25A15 83 73 69.99999 129 117.99999 100
KPNA3 197 200.00001 195.99999 343 253 208
RGCC 16 9 4 87 136 109
VWA8 39.00001 35 37 72 77.00001 61.00001
DGKH 41.00001 47 37 63 60 45
KATNAL1 98.99999 81.00002 83 52 35 33
INTS6 38 52 54.99999 74.00001 69 52
DHRS12 89.99999 82.00001 58.00001 169.00001 153 157
MEDAG 0 2 0.99999 8 4 4
TSC22D1 1657 1272.00001 1483 3331 1757.00001 2733.99998
CLN5 277 317.00001 316.00001 139.00001 101 123.99999
OLFM4 0 1 0 0 0 2
MSLN 0 2 1 8 3 3.00004
MGRN1 458.99999 418 439.00002 701 991 473
ZNF629 86 66 84 116 139 70
TRADD 1153 1084 1363 1394.00001 1259 1455.99999
HSF4 34 55 34 54 35.99999 48.99999
CORO1A 75 62.99999 66 280.00001 284 302.99999
MAPK3 341 330.99999 325.99999 693 1276 692
GDPD3 42 21 22 232 188 228
ELMO3 735.00001 738.99998 694.99998 1036.99999 1493.99999 1176
MT4 2 0 3 0 1 3
PHKB 2530.00001 1727 2346.00001 1802.00001 1212 1488
LYRM1 1206 1181.00002 1217 549.99999 241.00001 420
NUTF2 9703.00002 8330 7894.99997 12614 8082 9624
